,5+1,5+1 Amount,5+0,4+1,4+0,3+1,3+0,2+1,1+1,0+1,5+0+M,4+1+M,4+0+M,3+1+M,3+0+M,2+1+M,1+1+M,0+1+M
0,0,"$40,000,000",1,17,377,"1,089","23,540","27,794","199,988","509,383",0,5,76,175,"4,162","4,785","35,320","89,593"
1,1,"$1,600,000,000",36,419,"8,756","24,462","579,616","529,214","4,209,199","10,398,311",2,51,987,"2,798","65,813","60,786","488,017","1,201,176"
2,0,"$1,000,000,000",15,289,"6,661","19,037","437,325","410,059","3,294,130","8,279,174",1,35,728,"2,200","49,211","47,830","384,323","976,000"
3,0,"$667,000,000",9,100,"2,440","6,993","163,877","149,020","1,204,564","3,000,492",1,12,252,815,"19,223","17,691","142,203","356,533"
4,0,"$548,000,000",1,55,"1,370","3,940","89,664","88,062","707,925","1,760,166",1,7,159,505,"10,769","11,265","91,671","228,163"
5,0,"$470,000,000",4,37,920,"2,474","58,257","50,799","398,306","983,898",0,5,121,310,"7,193","6,394","49,555","123,540"
6,0,"$420,000,000",2,30,727,"2,046","48,680","45,789","364,685","895,544",0,3,103,255,"6,348","6,007","48,798","120,751"
7,0,"$367,000,000",0,30,691,"1,716","44,545","36,236","273,690","644,230",0,6,98,258,"6,300","5,118","37,939","88,030"
8,0,"$336,000,000",1,21,527,"1,404","32,958","29,988","241,256","639,206",0,4,65,210,"4,450","4,145","33,781","93,133"
9,0,"$303,000,000",1,21,615,"1,528","34,495","31,329","245,137","594,918",0,1,93,203,"4,780","4,386","35,115","84,169"
10,0,"$275,000,000",1,14,492,"1,414","32,764","30,586","223,541","521,153",0,2,74,228,"4,995","4,636","32,979","75,917"
11,0,"$252,000,000",1,15,379,967,"24,516","21,600","173,730","441,056",0,3,51,133,"3,343","3,054","24,481","62,757"
12,0,"$227,000,000",1,17,402,"1,071","24,420","24,089","195,094","497,477",0,2,52,151,"3,400","3,591","29,381","75,759"
13,0,"$207,000,000",0,18,357,926,"22,667","19,321","154,233","388,789",0,0,51,121,"3,237","2,719","22,014","56,423"
14,0,"$187,000,000",2,15,337,932,"21,284","22,368","176,920","414,330",0,2,52,145,"3,345","3,682","28,687","65,164"
15,0,"$167,000,000",0,19,328,"1,166","24,824","22,936","163,403","363,233",0,3,58,178,"4,008","3,747","26,565","57,492"
16,0,"$152,000,000",1,7,438,945,"25,562","19,090","144,953","339,854",0,1,71,141,"4,268","3,082","22,835","52,851"
17,0,"$134,000,000",1,10,311,757,"20,912","16,774","127,530","305,186",1,1,50,111,"3,321","2,601","19,509","46,186"
18,0,"$118,000,000",4,11,446,"1,220","26,545","23,270","159,571","356,630",1,1,70,223,"4,446","3,760","26,078","56,879"
19,0,"$102,000,000",0,14,274,847,"19,560","19,315","150,791","358,850",0,2,40,147,"3,090","3,209","25,180","59,573"
20,0,"$88,000,000",1,15,232,683,"16,219","16,033","130,268","322,296",0,3,40,114,"2,691","2,695","21,630","53,998"
21,0,"$75,000,000",0,14,277,817,"16,674","17,337","130,940","303,791",0,1,48,162,"2,816","3,233","23,312","52,704"
22,0,"$63,000,000",1,24,470,"1,108","26,353","21,218","125,286","271,588",0,5,103,205,"4,878","3,813","21,498","45,883"
23,0,"$55,000,000",1,12,263,801,"17,982","15,465","113,557","259,814",0,4,42,148,"3,036","2,684","19,244","43,739"
24,0,"$50,000,000",1,7,222,682,"16,663","14,511","112,822","268,135",0,1,37,125,"2,976","2,440","18,902","45,463"
25,0,"$45,000,000",0,9,220,588,"13,292","13,806","114,665","286,240",0,1,30,97,"2,226","2,443","20,107","50,696"
26,0,"$40,000,000",1,9,224,515,"14,125","12,128","99,637","242,132",0,2,37,76,"2,328","1,963","16,805","40,747"
27,1,"$522,000,000",8,102,"3,426","6,105","185,709","114,778","833,186","1,966,046",2,9,510,818,"25,052","13,920","98,785","230,313"
28,0,"$433,000,000",2,47,"1,093","2,909","72,615","62,760","488,160","1,174,101",0,5,145,335,"9,113","7,987","61,874","146,879"
29,0,"$375,000,000",3,25,657,"1,775","41,828","38,690","311,413","854,608",0,2,97,237,"5,211","5,001","41,510","118,439"
30,0,"$340,000,000",1,24,611,"1,618","40,952","36,788","296,911","739,418",0,2,69,228,"5,375","4,813","39,765","99,321"
31,0,"$306,000,000",2,39,862,"1,678","40,644","33,822","257,634","612,450",0,5,146,257,"6,131","4,745","35,456","83,767"
32,0,"$283,000,000",1,17,430,"1,167","29,828","24,550","189,708","461,385",0,2,69,159,"4,343","3,499","26,838","65,217"
33,0,"$256,000,000",0,14,451,"1,180","28,742","25,109","191,501","477,154",0,2,41,148,"4,048","3,488","26,874","67,581"
34,0,"$232,000,000",1,15,411,"1,015","26,612","22,276","177,842","439,561",1,1,53,119,"3,763","3,159","25,385","63,026"
35,0,"$212,000,000",2,18,368,983,"26,514","20,933","162,460","392,180",0,7,44,141,"3,869","3,061","23,252","56,011"
36,0,"$192,000,000",1,18,651,"1,013","34,832","20,028","144,083","339,120",0,4,120,167,"5,677","2,970","21,095","49,321"
37,0,"$175,000,000",0,21,300,875,"20,916","18,669","146,922","351,138",0,6,36,144,"3,176","2,860","22,179","52,979"
38,0,"$161,000,000",2,16,314,927,"21,632","20,221","158,784","370,747",1,4,48,155,"3,299","3,144","25,003","57,576"
39,0,"$144,000,000",1,60,"1,049","1,785","38,140","25,290","159,705","345,363",0,6,182,327,"6,651","4,246","25,246","52,894"
40,0,"$127,000,000",1,15,297,847,"19,287","19,011","150,361","377,464",0,4,41,130,"2,908","3,034","24,493","62,157"
41,0,"$110,000,000",0,11,291,745,"18,122","16,413","132,345","340,244",0,1,46,113,"2,861","2,490","20,773","54,533"
42,0,"$97,000,000",1,19,261,672,"16,644","14,207","111,933","276,125",0,3,37,114,"2,776","2,326","18,630","45,561"
43,0,"$84,000,000",0,10,245,540,"13,774","12,900","104,080","252,293",0,1,27,81,"2,268","2,211","17,113","41,033"
44,0,"$73,000,000",0,5,220,599,"14,572","12,840","104,057","255,934",0,1,43,99,"2,293","2,137","16,940","42,225"
45,0,"$60,000,000",0,13,247,787,"16,403","16,048","119,000","273,182",0,3,34,140,"2,819","2,804","20,655","47,421"
46,0,"$55,000,000",0,14,220,637,"13,619","14,402","120,326","300,615",0,1,44,100,"2,382","2,595","21,434","53,557"
47,0,"$50,000,000",0,16,186,490,"12,957","10,848","86,107","215,687",0,3,30,88,"2,180","1,815","14,517","36,254"
48,0,"$45,000,000",3,5,191,527,"13,990","11,660","91,668","231,131",1,1,34,78,"2,262","1,929","15,333","39,354"
49,0,"$40,000,000",5,10,211,513,"13,190","13,444","113,739","289,646",0,2,32,103,"2,163","2,375","20,100","52,351"
50,1,"$143,000,000",12,45,"1,447","1,371","45,620","19,541","133,227","307,200",6,10,278,240,"8,387","3,286","21,062","48,625"
